Ab,Name,Overs,Maiden,Runs,Wickets,ECON,0s,4s,6s,Wide,NB
5,Krunal Pandya,10,1,26,1,2.60,36,0,0,1,0
0,Bhuvneshwar Kumar,10,0,54,3,5.40,33,7,0,1,1
1,Deepak Chahar,8,0,53,2,6.62,26,6,1,3,0
2,Hardik Pandya,4,0,20,0,5.00,15,1,0,3,1
3,Yuzvendra Chahal,10,1,50,3,5.00,26,4,0,0,0
4,Kuldeep Yadav,10,0,55,0,5.50,21,3,0,1,0
5,Krunal Pandya,8,0,37,0,4.62,23,3,0,1,0
0,Navdeep Saini,5,0,27,0,5.40,18,1,1,1,1
1,Chetan Sakariya,8,0,34,2,4.25,32,4,0,1,2
2,Rahul Chahar,10,0,54,3,5.40,31,6,0,0,2
3,Krishnappa Gowtham,8,0,49,1,6.12,25,6,0,2,0
4,Hardik Pandya,5,0,43,1,8.60,12,5,0,3,0
5,Nitish Rana,3,0,10,0,3.33,9,0,0,0,0
0,Jasprit Bumrah,10,0,48,2,4.80,30,4,0,1,0
1,Bhuvneshwar Kumar,10,0,64,0,6.40,26,3,1,4,0
2,Shardul Thakur,10,1,72,0,7.20,26,5,3,2,3
3,Ravichandran Ashwin,10,0,53,1,5.30,20,2,0,2,0
4,Yuzvendra Chahal,10,0,53,0,5.30,30,6,0,0,0
0,Jasprit Bumrah,10,0,37,1,3.70,38,3,0,1,0
1,Bhuvneshwar Kumar,8,0,67,0,8.37,15,6,2,1,0
2,Ravichandran Ashwin,10,1,68,0,6.80,24,6,2,0,0
3,Yuzvendra Chahal,10,0,47,1,4.70,26,2,0,1,0
4,Shardul Thakur,5,0,35,1,7.00,13,5,0,2,0
5,Venkatesh Iyer,5,0,28,0,5.60,10,2,0,0,0
6,Shreyas Iyer,0.1,0,1,0,6.00,0,0,0,0,0
0,Deepak Chahar,8,0,53,2,6.62,26,6,0,6,1
1,Jasprit Bumrah,10,0,52,2,5.20,27,5,0,1,0
2,Prasidh Krishna,9.5,0,59,3,6.00,31,7,1,1,1
3,Jayant Yadav,10,0,53,0,5.30,30,3,1,1,1
4,Yuzvendra Chahal,9,0,47,1,5.22,28,5,1,0,0
5,Shreyas Iyer,3,0,21,0,7.00,7,1,1,0,0
0,Mohammed Siraj,8,2,26,1,3.25,35,3,0,1,0
1,Prasidh Krishna,10,0,29,2,2.90,47,4,0,2,0
2,Washington Sundar,9,1,30,3,3.33,36,3,0,1,0
3,Shardul Thakur,7,0,38,0,5.42,23,2,1,0,0
4,Yuzvendra Chahal,9.5,0,49,4,4.98,38,1,4,0,0
0,Mohammed Siraj,9,1,38,1,4.22,38,3,1,3,0
1,Shardul Thakur,9,1,41,2,4.55,35,4,2,0,0
2,Prasidh Krishna,9,3,12,4,1.33,45,1,0,0,0
3,Yuzvendra Chahal,10,0,45,1,4.50,33,1,2,0,2
4,Washington Sundar,5,0,28,1,5.60,14,1,1,0,1
5,Deepak Hooda,4,0,24,1,6.00,12,1,1,1,0
0,Deepak Chahar,8,1,41,2,5.12,28,5,0,1,0
1,Mohammed Siraj,9,1,29,3,3.22,41,4,0,2,0
2,Prasidh Krishna,8.1,1,27,3,3.30,37,2,1,1,0
3,Kuldeep Yadav,8,0,51,2,6.37,27,2,4,2,0
4,Washington Sundar,4,0,17,0,4.25,18,1,1,2,0
0,Mohammed Shami,7,0,31,3,4.42,29,5,0,1,0
1,Jasprit Bumrah,7.2,3,19,6,2.59,38,2,0,2,0
2,Hardik Pandya,4,0,22,0,5.50,13,3,0,0,0
3,Prasidh Krishna,5,0,26,1,5.20,22,6,0,0,0
4,Yuzvendra Chahal,2,0,10,0,5.00,7,0,1,0,0
0,Mohammed Shami,10,0,48,1,4.80,39,4,1,3,0
1,Jasprit Bumrah,10,1,49,2,4.90,39,4,2,0,1
2,Hardik Pandya,6,0,28,2,4.66,20,1,1,3,0
3,Prasidh Krishna,8,0,53,1,6.62,23,4,2,1,0
4,Yuzvendra Chahal,10,0,47,4,4.70,33,4,1,1,0
