,Name,Out/NotOut,Runs,Balls,4s,6s,SR
202,Hardik Pandya,1,35,16,1,4,218.75
203,Krunal Pandya,0,12,9,1,0,133.33
205,Rohit Sharma,1,37,37,6,0,100.00
206,Shikhar Dhawan,1,67,56,10,0,119.64
207,Virat Kohli,1,7,10,1,0,70.00
208,Rishabh Pant,1,78,62,5,4,125.80
209,KL Rahul,1,7,18,0,0,38.88
210,Hardik Pandya,1,64,44,5,4,145.45
211,Krunal Pandya,1,25,34,0,0,73.52
212,Shardul Thakur,1,30,21,1,3,142.85
213,Bhuvneshwar Kumar,1,3,5,0,0,60.00
214,Prasidh Krishna,1,0,3,0,0,0.00
216,Prithvi Shaw,1,43,24,9,0,179.16
217,Shikhar Dhawan,0,86,95,6,1,90.52
218,Ishan Kishan,1,59,42,8,2,140.47
219,Manish Pandey,1,26,40,1,1,65.00
220,Suryakumar Yadav,0,31,20,5,0,155.00
221,Prithvi Shaw,1,13,11,3,0,118.18
222,Shikhar Dhawan,1,29,38,6,0,76.31
223,Ishan Kishan,1,1,4,0,0,25.00
224,Manish Pandey,1,37,31,3,0,119.35
225,Suryakumar Yadav,1,53,44,6,0,120.45
226,Hardik Pandya,1,0,3,0,0,0.00
227,Krunal Pandya,1,35,54,3,0,64.81
228,Deepak Chahar,0,69,82,7,1,84.14
229,Bhuvneshwar Kumar,0,19,28,2,0,67.85
230,Prithvi Shaw,1,49,49,8,0,100.00
231,Shikhar Dhawan,1,13,11,3,0,118.18
232,Sanju Samson,1,46,46,5,1,100.00
233,Manish Pandey,1,11,19,0,0,57.89
234,Suryakumar Yadav,1,40,37,7,0,108.10
235,Hardik Pandya,1,19,17,3,0,111.76
236,Nitish Rana,1,7,14,0,0,50.00
237,Krishnappa Gowtham,1,2,3,0,0,66.66
238,Rahul Chahar,1,13,25,0,0,52.00
239,Navdeep Saini,1,15,37,0,0,40.54
240,Chetan Sakariya,0,0,1,0,0,0.00
241,KL Rahul,1,12,17,0,0,70.58
242,Shikhar Dhawan,1,79,84,10,0,94.04
243,Virat Kohli,1,51,63,3,0,80.95
244,Rishabh Pant,1,16,22,1,0,72.72
245,Shreyas Iyer,1,17,17,1,0,100.00
246,Venkatesh Iyer,1,2,7,0,0,28.57
247,Ravichandran Ashwin,1,7,13,0,0,53.84
248,Shardul Thakur,0,50,43,5,1,116.27
249,Bhuvneshwar Kumar,1,4,11,0,0,36.36
250,Jasprit Bumrah,0,14,23,1,0,60.86
251,KL Rahul,1,55,79,4,0,69.62
252,Shikhar Dhawan,1,29,38,5,0,76.31
253,Virat Kohli,1,0,5,0,0,0.00
254,Rishabh Pant,1,85,71,10,2,119.71
255,Shreyas Iyer,1,11,14,0,0,78.57
256,Venkatesh Iyer,1,22,33,0,1,66.66
257,Shardul Thakur,0,40,38,3,1,105.26
258,Ravichandran Ashwin,0,25,24,1,1,104.16
259,KL Rahul,1,9,10,2,0,90.00
260,Shikhar Dhawan,1,61,73,5,1,83.56
261,Virat Kohli,1,65,84,5,0,77.38
262,Rishabh Pant,1,0,1,0,0,0.00
263,Shreyas Iyer,1,26,34,2,0,76.47
264,Suryakumar Yadav,1,39,32,4,1,121.87
265,Deepak Chahar,1,54,34,5,2,158.82
266,Jayant Yadav,1,2,6,0,0,33.33
267,Jasprit Bumrah,1,12,15,2,0,80.00
268,Yuzvendra Chahal,1,2,6,0,0,33.33
269,Prasidh Krishna,0,2,3,0,0,66.66
270,Rohit Sharma,1,60,51,10,1,117.64
271,Ishan Kishan,1,28,36,2,1,77.77
272,Virat Kohli,1,8,4,2,0,200.00
273,Rishabh Pant,1,11,9,2,0,122.22
274,Suryakumar Yadav,0,34,36,5,0,94.44
275,Deepak Hooda,0,26,32,2,0,81.25
276,Rohit Sharma,1,5,8,0,0,62.50
277,Rishabh Pant,1,18,34,3,0,52.94
278,Virat Kohli,1,18,30,3,0,60.00
279,KL Rahul,1,49,48,4,2,102.08
280,Suryakumar Yadav,1,64,83,5,0,77.10
281,Washington Sundar,1,24,41,1,0,58.53
282,Deepak Hooda,1,29,25,2,0,116.00
283,Shardul Thakur,1,8,15,1,0,53.33
284,Mohammed Siraj,1,3,5,0,0,60.00
285,Yuzvendra Chahal,0,11,10,1,0,110.00
286,Prasidh Krishna,0,0,3,0,0,0.00
287,Rohit Sharma,1,13,15,3,0,86.66
288,Shikhar Dhawan,1,10,26,0,1,38.46
289,Virat Kohli,1,0,2,0,0,0.00
290,Shreyas Iyer,1,80,111,9,0,72.07
291,Rishabh Pant,1,56,54,6,1,103.70
292,Suryakumar Yadav,1,6,7,1,0,85.71
293,Washington Sundar,1,33,34,2,1,97.05
294,Deepak Chahar,1,38,38,4,2,100.00
295,Kuldeep Yadav,1,5,8,0,0,62.50
296,Mohammed Siraj,1,4,6,1,0,66.66
298,Rohit Sharma,0,76,58,7,5,131.03
299,Shikhar Dhawan,0,31,54,4,0,57.40
300,Rohit Sharma,1,0,10,0,0,0.00
301,Shikhar Dhawan,1,9,26,1,0,34.61
302,Virat Kohli,1,16,25,3,0,64.00
303,Rishabh Pant,1,0,5,0,0,0.00
304,Suryakumar Yadav,1,27,29,1,1,93.10
305,Hardik Pandya,1,29,44,2,0,65.90
306,Ravindra Jadeja,1,29,44,1,1,65.90
307,Mohammed Shami,1,23,28,2,1,82.14
308,Jasprit Bumrah,0,2,6,0,0,33.33
309,Yuzvendra Chahal,1,3,13,0,0,23.07
310,Prasidh Krishna,1,0,3,0,0,0.00
311,Rohit Sharma,1,17,17,4,0,100.00
312,Shikhar Dhawan,1,1,3,0,0,33.33
313,Virat Kohli,1,17,22,3,0,77.27
314,Rishabh Pant,0,125,113,16,2,110.61
315,Suryakumar Yadav,1,16,28,1,0,57.14
