Abc,Name,Out/NotOut,Runs,Balls,4s,6s,SR
5,Deepak Hooda,Out,27,32,1,1,84.37
6,Axar Patel,Out,21,21,1,1,100.00
7,Shardul Thakur,Not Out,7,5,1,0,140.00
8,Mohammed Siraj,Not Out,1,2,0,0,50.00
0,Shikhar Dhawan (c),Out,13,31,0,0,41.93
1,Shubman Gill,Out,43,49,5,0,87.75
2,Shreyas Iyer,Out,63,71,4,1,88.73
3,Suryakumar Yadav,Out,9,8,0,1,112.50
4,Sanju Samson,Out,54,51,3,3,105.88
5,Deepak Hooda,Out,33,36,2,0,91.66
6,Axar Patel,Not Out,64,35,3,5,182.85
7,Shardul Thakur,Out,3,6,0,0,50.00
8,Avesh Khan,Out,10,12,2,0,83.33
9,Mohammed Siraj,Not Out,1,1,0,0,100.00
0,Shikhar Dhawan (c),Out,58,74,7,0,78.37
1,Shubman Gill,Not Out,98,98,7,2,100.00
2,Shreyas Iyer,Out,44,34,4,1,129.41
3,Suryakumar Yadav,Out,8,6,1,0,133.33
4,Sanju Samson,Not Out,6,7,0,0,85.71
0,Shikhar Dhawan,Not Out,81,113,9,0,71.68
1,Shubman Gill,Not Out,82,72,10,1,113.88
0,Shikhar Dhawan,Out,33,21,4,0,157.14
1,KL Rahul (c),Out,1,5,0,0,20.00
2,Shubman Gill,Out,33,34,6,0,97.05
3,Ishan Kishan,Out,6,13,0,0,46.15
4,Deepak Hooda,Out,25,36,3,0,69.44
5,Sanju Samson,Not Out,43,39,3,4,110.25
6,Axar Patel,Not Out,6,7,1,0,85.71
0,Shikhar Dhawan,Out,40,68,5,0,58.82
1,KL Rahul (c),Out,30,46,1,1,65.21
2,Shubman Gill,Out,130,97,15,1,134.02
3,Ishan Kishan,Out,50,61,6,0,81.96
4,Deepak Hooda,Out,1,3,0,0,33.33
5,Sanju Samson,Out,15,13,0,2,115.38
6,Axar Patel,Out,1,4,0,0,25.00
7,Shardul Thakur,Out,9,6,2,0,150.00
8,Deepak Chahar,Not Out,1,1,0,0,100.00
9,Kuldeep Yadav,Not Out,2,2,0,0,100.00
0,Shikhar Dhawan (c),Out,4,16,0,0,25.00
1,Shubman Gill,Out,3,7,0,0,42.85
2,Ruturaj Gaikwad,Out,19,42,1,0,45.23
3,Ishan Kishan,Out,20,37,3,0,54.05
4,Shreyas Iyer,Out,50,37,8,0,135.13
5,Sanju Samson,Not Out,86,63,9,3,136.50
6,Shardul Thakur,Out,33,31,5,0,106.45
7,Kuldeep Yadav,Out,0,1,0,0,0.00
8,Avesh Khan,Out,3,6,0,0,50.00
9,Ravi Bishnoi,Not Out,4,2,1,0,200.00
0,Shikhar Dhawan (c),Out,13,20,0,1,65.00
1,Shubman Gill,Out,28,26,5,0,107.69
2,Ishan Kishan,Out,93,84,4,7,110.71
3,Shreyas Iyer,Not Out,113,111,15,0,101.80
4,Sanju Samson,Not Out,30,36,1,1,83.33
0,Shikhar Dhawan (c),Out,8,14,1,0,57.14
1,Shubman Gill,Out,49,57,8,0,85.96
2,Ishan Kishan,Out,10,18,2,0,55.55
3,Shreyas Iyer,Not Out,28,23,3,2,121.73
4,Sanju Samson,Not Out,2,4,0,0,50.00
0,Shikhar Dhawan (c),Out,72,77,13,0,93.50
1,Shubman Gill,Out,50,65,1,3,76.92
2,Shreyas Iyer,Out,80,76,4,4,105.26
3,Rishabh Pant,Out,15,23,2,0,65.21
4,Suryakumar Yadav,Out,4,3,1,0,133.33
5,Sanju Samson,Out,36,38,4,0,94.73
6,Washington Sundar,Not Out,37,16,3,3,231.25
7,Shardul Thakur,Out,1,2,0,0,50.00
0,Shikhar Dhawan (c),Out,3,10,0,0,30.00
1,Shubman Gill,Not Out,45,42,4,1,107.14
2,Suryakumar Yadav,Not Out,34,25,2,3,136.00
0,Shikhar Dhawan (c),Out,28,45,3,1,62.22
1,Shubman Gill,Out,13,22,2,0,59.09
2,Shreyas Iyer,Out,49,59,8,0,83.05
3,Rishabh Pant,Out,10,16,2,0,62.50
4,Suryakumar Yadav,Out,6,10,0,0,60.00
5,Deepak Hooda,Out,12,25,0,0,48.00
6,Washington Sundar,Out,51,64,5,1,79.68
7,Deepak Chahar,Out,12,9,0,2,133.33
8,Yuzvendra Chahal,Out,8,22,0,0,36.36
9,Arshdeep Singh,Out,9,9,0,1,100.00
10,Umran Malik,Not Out,0,4,0,0,0.00
0,Rohit Sharma (c),Out,27,31,4,1,87.09
1,Shikhar Dhawan,Out,7,17,1,0,41.17
2,Virat Kohli,Out,9,15,1,0,60.00
3,Shreyas Iyer,Out,24,39,2,0,61.53
4,KL Rahul,Out,73,70,5,4,104.28
5,Washington Sundar,Out,19,43,0,0,44.18
6,Shahbaz Ahmed,Out,0,4,0,0,0.00
7,Shardul Thakur,Out,2,3,0,0,66.66
8,Deepak Chahar,Out,0,3,0,0,0.00
9,Mohammed Siraj,Out,9,20,1,0,45.00
10,Kuldeep Sen,Not Out,2,4,0,0,50.00
0,Virat Kohli,Out,5,6,1,0,83.33
1,Shikhar Dhawan,Out,8,10,1,0,80.00
2,Shreyas Iyer,Out,82,102,6,3,80.39
3,Washington Sundar,Out,11,19,1,0,57.89
4,KL Rahul,Out,14,28,0,0,50.00
5,Axar Patel,Out,56,56,2,3,100.00
6,Shardul Thakur,Out,7,23,0,0,30.43
7,Deepak Chahar,Out,11,18,0,1,61.11
8,Rohit Sharma (c),Not Out,51,28,3,5,182.14
9,Mohammed Siraj,Out,2,12,0,0,16.66
10,Umran Malik,Not Out,0,0,0,0,-
0,Shikhar Dhawan,Out,3,8,0,0,37.50
1,Ishan Kishan,Out,210,131,24,10,160.30
2,Virat Kohli,Out,113,91,11,2,124.17
3,Shreyas Iyer,Out,3,6,0,0,50.00
4,KL Rahul (c),Out,8,10,1,0,80.00
5,Washington Sundar,Out,37,27,4,1,137.03
6,Axar Patel,Out,20,17,1,1,117.64
7,Shardul Thakur,Out,3,5,0,0,60.00
8,Kuldeep Yadav,Not Out,3,3,0,0,100.00
9,Mohammed Siraj,Not Out,0,2,0,0,0.00
0,Rohit Sharma (c),Out,83,67,9,3,123.88
1,Shubman Gill,Out,70,60,11,0,116.66
2,Virat Kohli,Out,113,87,12,1,129.88
3,Shreyas Iyer,Out,28,24,3,1,116.66
4,KL Rahul,Out,39,29,4,1,134.48
5,Hardik Pandya,Out,14,12,0,1,116.66
6,Axar Patel,Out,9,9,0,0,100.00
7,Mohammed Shami,Not Out,4,4,0,0,100.00
8,Mohammed Siraj,Not Out,7,8,0,0,87.50
