Abc,Match,Name,Out/NotOut,Runs,Balls,4s,6s,SR,MatchId
1,australia vs india,Shubman Gill,Out,33,39,3,1,84.61,ODI no. 4267
2,australia vs india,Virat Kohli (c),Out,63,78,5,0,80.76,ODI no. 4267
3,australia vs india,Shreyas Iyer,Out,19,21,2,0,90.47,ODI no. 4267
4,australia vs india,KL Rahul,Out,5,11,0,0,45.45,ODI no. 4267
5,australia vs india,Hardik Pandya,Not Out,92,76,7,1,121.05,ODI no. 4267
6,australia vs india,Ravindra Jadeja,Not Out,66,50,5,3,132.00,ODI no. 4267
0,india vs england,Rohit Sharma,Out,28,42,4,0,66.66,ODI no. 4281
1,india vs england,Shikhar Dhawan,Out,98,106,11,2,92.45,ODI no. 4281
2,india vs england,Virat Kohli (c),Out,56,60,6,0,93.33,ODI no. 4281
3,india vs england,Shreyas Iyer,Out,6,9,1,0,66.66,ODI no. 4281
4,india vs england,KL Rahul,Not Out,62,43,4,4,144.18,ODI no. 4281
5,india vs england,Hardik Pandya,Out,1,9,0,0,11.11,ODI no. 4281
6,india vs england,Krunal Pandya,Not Out,58,31,7,2,187.09,ODI no. 4281
0,india vs england,Rohit Sharma,Out,25,25,5,0,100.00,ODI no. 4283
1,india vs england,Shikhar Dhawan,Out,4,17,0,0,23.52,ODI no. 4283
2,india vs england,Virat Kohli (c),Out,66,79,3,1,83.54,ODI no. 4283
3,india vs england,KL Rahul,Out,108,114,7,2,94.73,ODI no. 4283
4,india vs england,Rishabh Pant,Out,77,40,3,7,192.50,ODI no. 4283
5,india vs england,Hardik Pandya,Out,35,16,1,4,218.75,ODI no. 4283
6,india vs england,Krunal Pandya,Not Out,12,9,1,0,133.33,ODI no. 4283
7,india vs england,Shardul Thakur,Not Out,0,0,0,0,-,ODI no. 4283
0,india vs england,Rohit Sharma,Out,37,37,6,0,100.00,ODI no. 4284
1,india vs england,Shikhar Dhawan,Out,67,56,10,0,119.64,ODI no. 4284
2,india vs england,Virat Kohli (c),Out,7,10,1,0,70.00,ODI no. 4284
3,india vs england,Rishabh Pant,Out,78,62,5,4,125.80,ODI no. 4284
4,india vs england,KL Rahul,Out,7,18,0,0,38.88,ODI no. 4284
5,india vs england,Hardik Pandya,Out,64,44,5,4,145.45,ODI no. 4284
6,india vs england,Krunal Pandya,Out,25,34,0,0,73.52,ODI no. 4284
7,india vs england,Shardul Thakur,Out,30,21,1,3,142.85,ODI no. 4284
8,india vs england,Bhuvneshwar Kumar,Out,3,5,0,0,60.00,ODI no. 4284
9,india vs england,Prasidh Krishna,Out,0,3,0,0,0.00,ODI no. 4284
10,india vs england,T Natarajan,Not Out,0,0,0,0,-,ODI no. 4284
0,sri lanka vs india,Prithvi Shaw,Out,43,24,9,0,179.16,ODI no. 4307
1,sri lanka vs india,Shikhar Dhawan (c),Not Out,86,95,6,1,90.52,ODI no. 4307
2,sri lanka vs india,Ishan Kishan †,Out,59,42,8,2,140.47,ODI no. 4307
3,sri lanka vs india,Manish Pandey,Out,26,40,1,1,65.00,ODI no. 4307
4,sri lanka vs india,Suryakumar Yadav,Not Out,31,20,5,0,155.00,ODI no. 4307
0,sri lanka vs india,Prithvi Shaw,Out,13,11,3,0,118.18,ODI no. 4309
1,sri lanka vs india,Shikhar Dhawan (c),Out,29,38,6,0,76.31,ODI no. 4309
2,sri lanka vs india,Ishan Kishan,Out,1,4,0,0,25.00,ODI no. 4309
3,sri lanka vs india,Manish Pandey,Out,37,31,3,0,119.35,ODI no. 4309
4,sri lanka vs india,Suryakumar Yadav,Out,53,44,6,0,120.45,ODI no. 4309
5,sri lanka vs india,Hardik Pandya,Out,0,3,0,0,0.00,ODI no. 4309
6,sri lanka vs india,Krunal Pandya,Out,35,54,3,0,64.81,ODI no. 4309
7,sri lanka vs india,Deepak Chahar,Not Out,69,82,7,1,84.14,ODI no. 4309
8,sri lanka vs india,Bhuvneshwar Kumar,Not Out,19,28,2,0,67.85,ODI no. 4309
0,sri lanka vs india,Prithvi Shaw,Out,49,49,8,0,100.00,ODI no. 4312
1,sri lanka vs india,Shikhar Dhawan (c),Out,13,11,3,0,118.18,ODI no. 4312
2,sri lanka vs india,Sanju Samson,Out,46,46,5,1,100.00,ODI no. 4312
3,sri lanka vs india,Manish Pandey,Out,11,19,0,0,57.89,ODI no. 4312
4,sri lanka vs india,Suryakumar Yadav,Out,40,37,7,0,108.10,ODI no. 4312
5,sri lanka vs india,Hardik Pandya,Out,19,17,3,0,111.76,ODI no. 4312
6,sri lanka vs india,Nitish Rana,Out,7,14,0,0,50.00,ODI no. 4312
7,sri lanka vs india,Krishnappa Gowtham,Out,2,3,0,0,66.66,ODI no. 4312
8,sri lanka vs india,Rahul Chahar,Out,13,25,0,0,52.00,ODI no. 4312
9,sri lanka vs india,Navdeep Saini,Out,15,37,0,0,40.54,ODI no. 4312
10,sri lanka vs india,Chetan Sakariya,Not Out,0,1,0,0,0.00,ODI no. 4312
0,south africa vs india,"KL
                                        Rahul (c)",Out,12,17,0,0,70.58,"ODI
                                    no. 4344"
1,south africa vs india,"Shikhar
                                        Dhawan",Out,79,84,10,0,94.04,"ODI
                                    no. 4344"
2,south africa vs india,"Virat
                                        Kohli",Out,51,63,3,0,80.95,"ODI
                                    no. 4344"
3,south africa vs india,"Rishabh
                                        Pant �",Out,16,22,1,0,72.72,"ODI
                                    no. 4344"
4,south africa vs india,"Shreyas
                                        Iyer",Out,17,17,1,0,100.00,"ODI
                                    no. 4344"
5,south africa vs india,"Venkatesh
                                        Iyer",Out,2,7,0,0,28.57,"ODI
                                    no. 4344"
6,south africa vs india,"Ravichandran
                                        Ashwin",Out,7,13,0,0,53.84,"ODI
                                    no. 4344"
7,south africa vs india,"Shardul
                                        Thakur",Not Out,50,43,5,1,116.27,"ODI
                                    no. 4344"
8,south africa vs india,"Bhuvneshwar
                                        Kumar",Out,4,11,0,0,36.36,"ODI
                                    no. 4344"
9,south africa vs india,"Jasprit
                                        Bumrah",Not Out,14,23,1,0,60.86,"ODI
                                    no. 4344"
0,south africa vs india,KL Rahul (c),Out,55,79,4,0,69.62,ODI no. 4346
1,south africa vs india,Shikhar Dhawan,Out,29,38,5,0,76.31,ODI no. 4346
2,south africa vs india,Virat Kohli,Out,0,5,0,0,0.00,ODI no. 4346
3,south africa vs india,Rishabh Pant,Out,85,71,10,2,119.71,ODI no. 4346
4,south africa vs india,Shreyas Iyer,Out,11,14,0,0,78.57,ODI no. 4346
5,south africa vs india,Venkatesh Iyer,Out,22,33,0,1,66.66,ODI no. 4346
6,south africa vs india,Shardul Thakur,Not Out,40,38,3,1,105.26,ODI no. 4346
7,south africa vs india,Ravichandran Ashwin,Not Out,25,24,1,1,104.16,ODI no. 4346
0,south africa vs india,KL Rahul (c),Out,9,10,2,0,90.00,ODI no. 4349
1,south africa vs india,Shikhar Dhawan,Out,61,73,5,1,83.56,ODI no. 4349
2,south africa vs india,Virat Kohli,Out,65,84,5,0,77.38,ODI no. 4349
3,south africa vs india,Rishabh Pant,Out,0,1,0,0,0.00,ODI no. 4349
4,south africa vs india,Shreyas Iyer,Out,26,34,2,0,76.47,ODI no. 4349
5,south africa vs india,Suryakumar Yadav,Out,39,32,4,1,121.87,ODI no. 4349
6,south africa vs india,Deepak Chahar,Out,54,34,5,2,158.82,ODI no. 4349
7,south africa vs india,Jayant Yadav,Out,2,6,0,0,33.33,ODI no. 4349
8,south africa vs india,Jasprit Bumrah,Out,12,15,2,0,80.00,ODI no. 4349
9,south africa vs india,Yuzvendra Chahal,Out,2,6,0,0,33.33,ODI no. 4349
10,south africa vs india,Prasidh Krishna,Not Out,2,3,0,0,66.66,ODI no. 4349
0,india vs west indies,Rohit Sharma (c),Out,60,51,10,1,117.64,ODI no. 4353
1,india vs west indies,Ishan Kishan,Out,28,36,2,1,77.77,ODI no. 4353
2,india vs west indies,Virat Kohli,Out,8,4,2,0,200.00,ODI no. 4353
3,india vs west indies,Rishabh Pant,Out,11,9,2,0,122.22,ODI no. 4353
4,india vs west indies,Suryakumar Yadav,Not Out,34,36,5,0,94.44,ODI no. 4353
5,india vs west indies,Deepak Hooda,Not Out,26,32,2,0,81.25,ODI no. 4353
0,india vs west indies,Rohit Sharma (c),Out,5,8,0,0,62.50,ODI no. 4355
1,india vs west indies,Rishabh Pant,Out,18,34,3,0,52.94,ODI no. 4355
2,india vs west indies,Virat Kohli,Out,18,30,3,0,60.00,ODI no. 4355
3,india vs west indies,KL Rahul,Out,49,48,4,2,102.08,ODI no. 4355
4,india vs west indies,Suryakumar Yadav,Out,64,83,5,0,77.10,ODI no. 4355
5,india vs west indies,Washington Sundar,Out,24,41,1,0,58.53,ODI no. 4355
6,india vs west indies,Deepak Hooda,Out,29,25,2,0,116.00,ODI no. 4355
7,india vs west indies,Shardul Thakur,Out,8,15,1,0,53.33,ODI no. 4355
8,india vs west indies,Mohammed Siraj,Out,3,5,0,0,60.00,ODI no. 4355
9,india vs west indies,Yuzvendra Chahal,Not Out,11,10,1,0,110.00,ODI no. 4355
10,india vs west indies,Prasidh Krishna,Not Out,0,3,0,0,0.00,ODI no. 4355
0,india vs west indies,Rohit Sharma (c),Out,13,15,3,0,86.66,ODI no. 4356
1,india vs west indies,Shikhar Dhawan,Out,10,26,0,1,38.46,ODI no. 4356
2,india vs west indies,Virat Kohli,Out,0,2,0,0,0.00,ODI no. 4356
3,india vs west indies,Shreyas Iyer,Out,80,111,9,0,72.07,ODI no. 4356
4,india vs west indies,Rishabh Pant,Out,56,54,6,1,103.70,ODI no. 4356
5,india vs west indies,Suryakumar Yadav,Out,6,7,1,0,85.71,ODI no. 4356
6,india vs west indies,Washington Sundar,Out,33,34,2,1,97.05,ODI no. 4356
7,india vs west indies,Deepak Chahar,Out,38,38,4,2,100.00,ODI no. 4356
8,india vs west indies,Kuldeep Yadav,Out,5,8,0,0,62.50,ODI no. 4356
9,india vs west indies,Mohammed Siraj,Out,4,6,1,0,66.66,ODI no. 4356
10,india vs west indies,Prasidh Krishna,Not Out,0,0,0,0,-,ODI no. 4356
0,england vs india,Rohit Sharma (c),Not Out,76,58,7,5,131.03,ODI no. 4424
1,england vs india,Shikhar Dhawan,Not Out,31,54,4,0,57.40,ODI no. 4424
0,england vs india,Rohit Sharma (c),Out,0,10,0,0,0.00,ODI no. 4428
1,england vs india,Shikhar Dhawan,Out,9,26,1,0,34.61,ODI no. 4428
2,england vs india,Virat Kohli,Out,16,25,3,0,64.00,ODI no. 4428
3,england vs india,Rishabh Pant,Out,0,5,0,0,0.00,ODI no. 4428
4,england vs india,Suryakumar Yadav,Out,27,29,1,1,93.10,ODI no. 4428
5,england vs india,Hardik Pandya,Out,29,44,2,0,65.90,ODI no. 4428
6,england vs india,Ravindra Jadeja,Out,29,44,1,1,65.90,ODI no. 4428
7,england vs india,Mohammed Shami,Out,23,28,2,1,82.14,ODI no. 4428
8,england vs india,Jasprit Bumrah,Not Out,2,6,0,0,33.33,ODI no. 4428
9,england vs india,Yuzvendra Chahal,Out,3,13,0,0,23.07,ODI no. 4428
10,england vs india,Prasidh Krishna,Out,0,3,0,0,0.00,ODI no. 4428
0,england vs india,Rohit Sharma (c),Out,17,17,4,0,100.00,ODI no. 4433
1,england vs india,Shikhar Dhawan,Out,1,3,0,0,33.33,ODI no. 4433
2,england vs india,Virat Kohli,Out,17,22,3,0,77.27,ODI no. 4433
3,england vs india,Rishabh Pant,Not Out,125,113,16,2,110.61,ODI no. 4433
