Abc,Match,Name,Overs,Maiden,Runs,Wickets,ECON,0s,4s,6s,Wide,NB,MatchId
0,india vs west indies,Shardul Thakur,10,0,66,1,6.6,29,5,3,2,0,ODI no. 4223
1,india vs west indies,Mohammed Shami,10,2,66,1,6.6,27,5,3,0,0,ODI no. 4223
2,india vs west indies,Navdeep Saini,10,0,58,2,5.8,33,8,1,1,0,ODI no. 4223
3,india vs west indies,Kuldeep Yadav,10,0,67,0,6.7,27,3,5,0,0,ODI no. 4223
4,india vs west indies,Ravindra Jadeja,10,0,54,1,5.4,28,6,0,0,0,ODI no. 4223
0,india vs australia,Mohammed Shami,7.4,0,58,0,7.56,23,10,0,1,0,ODI no. 4231
1,india vs australia,Jasprit Bumrah,7,0,50,0,7.14,24,9,0,1,0,ODI no. 4231
2,india vs australia,Shardul Thakur,5,0,43,0,8.6,13,5,1,4,0,ODI no. 4231
3,india vs australia,Kuldeep Yadav,10,0,55,0,5.5,31,2,3,2,0,ODI no. 4231
4,india vs australia,Ravindra Jadeja,8,0,41,0,5.12,27,4,1,1,0,ODI no. 4231
0,india vs australia,Jasprit Bumrah,9.1,2,32,1,3.49,37,3,0,1,0,ODI no. 4232
1,india vs australia,Mohammed Shami,10,0,77,3,7.7,24,8,1,4,0,ODI no. 4232
2,india vs australia,Navdeep Saini,10,0,62,2,6.2,24,8,0,0,0,ODI no. 4232
3,india vs australia,Ravindra Jadeja,10,0,58,2,5.8,22,4,1,1,0,ODI no. 4232
4,india vs australia,Kuldeep Yadav,10,0,65,2,6.5,19,3,1,0,0,ODI no. 4232
0,india vs australia,Jasprit Bumrah,10,0,38,0,3.8,39,3,0,4,0,ODI no. 4233
1,india vs australia,Mohammed Shami,10,0,63,4,6.3,28,6,1,4,0,ODI no. 4233
2,india vs australia,Navdeep Saini,10,0,65,1,6.5,30,9,1,0,0,ODI no. 4233
3,india vs australia,Kuldeep Yadav,10,0,62,1,6.2,18,5,0,1,0,ODI no. 4233
4,india vs australia,Ravindra Jadeja,10,1,44,2,4.4,28,3,0,0,0,ODI no. 4233
0,new zealand vs india,Jasprit Bumrah,10,1,53,0,5.3,37,3,1,9,0,ODI no. 4235
1,new zealand vs india,Mohammed Shami,9.1,0,63,1,6.87,27,8,0,6,0,ODI no. 4235
2,new zealand vs india,Shardul Thakur,9,0,80,1,8.88,20,6,4,2,1,ODI no. 4235
3,new zealand vs india,Ravindra Jadeja,10,0,64,0,6.4,23,6,1,1,0,ODI no. 4235
4,new zealand vs india,Kuldeep Yadav,10,0,84,2,8.4,17,10,1,1,0,ODI no. 4235
0,new zealand vs india,Shardul Thakur,10,1,60,2,6,34,6,2,3,0,ODI no. 4239
1,new zealand vs india,Jasprit Bumrah,10,0,64,0,6.4,25,6,2,0,0,ODI no. 4239
2,new zealand vs india,Navdeep Saini,10,0,48,0,4.8,36,5,1,2,0,ODI no. 4239
3,new zealand vs india,Yuzvendra Chahal,10,0,58,3,5.8,27,4,2,1,0,ODI no. 4239
4,new zealand vs india,Ravindra Jadeja,10,0,35,1,3.5,34,3,0,0,0,ODI no. 4239
0,new zealand vs india,Jasprit Bumrah,10,0,50,0,5,32,4,1,0,0,ODI no. 4243
1,new zealand vs india,Navdeep Saini,8,0,68,0,8.5,26,8,2,2,2,ODI no. 4243
2,new zealand vs india,Yuzvendra Chahal,10,1,47,3,4.7,28,3,1,0,0,ODI no. 4243
3,new zealand vs india,Shardul Thakur,9.1,0,87,1,9.49,22,10,4,4,0,ODI no. 4243
4,new zealand vs india,Ravindra Jadeja,10,0,45,1,4.5,25,3,0,0,0,ODI no. 4243
0,australia vs india,Mohammed Shami,10,0,59,3,5.9,30,5,1,1,0,ODI no. 4265
1,australia vs india,Jasprit Bumrah,10,0,73,1,7.3,25,9,0,2,1,ODI no. 4265
2,australia vs india,Navdeep Saini,10,0,83,1,8.3,21,8,2,3,0,ODI no. 4265
3,australia vs india,Yuzvendra Chahal,10,0,89,1,8.9,25,5,5,3,1,ODI no. 4265
4,australia vs india,Ravindra Jadeja,10,0,63,0,6.3,27,6,1,1,0,ODI no. 4265
0,australia vs india,Mohammed Shami,9,0,73,1,8.11,20,9,1,1,0,ODI no. 4266
1,australia vs india,Jasprit Bumrah,10,1,79,1,7.9,22,9,1,1,0,ODI no. 4266
2,australia vs india,Navdeep Saini,7,0,70,0,10,15,7,3,2,1,ODI no. 4266
3,australia vs india,Yuzvendra Chahal,9,0,71,0,7.88,19,4,4,0,0,ODI no. 4266
4,australia vs india,Ravindra Jadeja,10,0,60,0,6,19,3,1,0,0,ODI no. 4266
5,australia vs india,Mayank Agarwal,1,0,10,0,10,2,2,0,0,0,ODI no. 4266
6,australia vs india,Hardik Pandya,4,0,24,1,6,10,2,0,0,0,ODI no. 4266
0,australia vs india,Jasprit Bumrah,9.3,0,43,2,4.52,35,3,1,5,0,ODI no. 4267
1,australia vs india,T Natarajan,10,1,70,2,7,30,7,2,4,1,ODI no. 4267
2,australia vs india,Shardul Thakur,10,1,51,3,5.1,29,5,0,0,0,ODI no. 4267
3,australia vs india,Kuldeep Yadav,10,0,57,1,5.7,26,3,1,0,0,ODI no. 4267
4,australia vs india,Ravindra Jadeja,10,0,62,1,6.2,31,3,4,0,1,ODI no. 4267
0,india vs england,Bhuvneshwar Kumar,9,0,30,2,3.33,34,2,0,2,0,ODI no. 4281
1,india vs england,Prasidh Krishna,8.1,1,54,4,6.61,30,5,2,3,0,ODI no. 4281
2,india vs england,Shardul Thakur,6,0,37,3,6.16,18,3,1,0,0,ODI no. 4281
3,india vs england,Krunal Pandya,10,0,59,1,5.9,31,4,3,0,0,ODI no. 4281
4,india vs england,Kuldeep Yadav,9,0,68,0,7.55,23,5,4,1,0,ODI no. 4281
