,Match,Name,Overs,Maiden,Runs,Wickets,ECON,0s,4s,6s,Wide,NB,MatchId
86,IND vs AUS,Kuldeep Yadav,10.0,0,55,0,5.5,31,2,3,2,0,ODI no. 4231
87,IND vs AUS,Ravindra Jadeja,8.0,0,41,0,5.12,27,4,1,1,0,ODI no. 4231
88,IND vs AUS,Jasprit Bumrah,9.1,2,32,1,3.49,37,3,0,1,0,ODI no. 4232
89,IND vs AUS,Mohammed Shami,10.0,0,77,3,7.7,24,8,1,4,0,ODI no. 4232
90,IND vs AUS,Navdeep Saini,10.0,0,62,2,6.2,24,8,0,0,0,ODI no. 4232
91,IND vs AUS,Ravindra Jadeja,10.0,0,58,2,5.8,22,4,1,1,0,ODI no. 4232
92,IND vs AUS,Kuldeep Yadav,10.0,0,65,2,6.5,19,3,1,0,0,ODI no. 4232
93,IND vs AUS,Jasprit Bumrah,10.0,0,38,0,3.8,39,3,0,4,0,ODI no. 4233
94,IND vs AUS,Mohammed Shami,10.0,0,63,4,6.3,28,6,1,4,0,ODI no. 4233
95,IND vs AUS,Navdeep Saini,10.0,0,65,1,6.5,30,9,1,0,0,ODI no. 4233
96,IND vs AUS,Kuldeep Yadav,10.0,0,62,1,6.2,18,5,0,1,0,ODI no. 4233
97,IND vs AUS,Ravindra Jadeja,10.0,1,44,2,4.4,28,3,0,0,0,ODI no. 4233
98,NZ vs IND,Jasprit Bumrah,10.0,1,53,0,5.3,37,3,1,9,0,ODI no. 4235
99,NZ vs IND,Mohammed Shami,9.1,0,63,1,6.87,27,8,0,6,0,ODI no. 4235
100,NZ vs IND,Shardul Thakur,9.0,0,80,1,8.88,20,6,4,2,1,ODI no. 4235
101,NZ vs IND,Ravindra Jadeja,10.0,0,64,0,6.4,23,6,1,1,0,ODI no. 4235
102,NZ vs IND,Kuldeep Yadav,10.0,0,84,2,8.4,17,10,1,1,0,ODI no. 4235
103,NZ vs IND,Shardul Thakur,10.0,1,60,2,6.0,34,6,2,3,0,ODI no. 4239
104,NZ vs IND,Jasprit Bumrah,10.0,0,64,0,6.4,25,6,2,0,0,ODI no. 4239
105,NZ vs IND,Navdeep Saini,10.0,0,48,0,4.8,36,5,1,2,0,ODI no. 4239
106,NZ vs IND,Yuzvendra Chahal,10.0,0,58,3,5.8,27,4,2,1,0,ODI no. 4239
