,Match,Name,Out/NotOut,Runs,Balls,4s,6s,SR,MatchId
108,IND vs WI,Rishabh Pant,1,7,6,1,0,116.66,ODI no. 4223
109,IND vs WI,Kedar Jadhav,1,9,10,1,0,90.00,ODI no. 4223
110,IND vs WI,Ravindra Jadeja,0,39,31,4,0,125.80,ODI no. 4223
111,IND vs WI,Shardul Thakur,0,17,6,2,1,283.33,ODI no. 4223
112,IND vs AUS,Rohit Sharma,1,10,15,2,0,66.66,ODI no. 4231
113,IND vs AUS,Shikhar Dhawan,1,74,91,9,1,81.31,ODI no. 4231
114,IND vs AUS,KL Rahul,1,47,61,4,0,77.04,ODI no. 4231
115,IND vs AUS,Virat Kohli,1,16,14,0,1,114.28,ODI no. 4231
116,IND vs AUS,Shreyas Iyer,1,4,9,0,0,44.44,ODI no. 4231
117,IND vs AUS,Rishabh Pant,1,28,33,2,1,84.84,ODI no. 4231
118,IND vs AUS,Ravindra Jadeja,1,25,32,2,1,78.12,ODI no. 4231
119,IND vs AUS,Shardul Thakur,1,13,10,2,0,130.00,ODI no. 4231
120,IND vs AUS,Mohammed Shami,1,10,15,1,0,66.66,ODI no. 4231
121,IND vs AUS,Kuldeep Yadav,1,17,15,2,0,113.33,ODI no. 4231
122,IND vs AUS,Jasprit Bumrah,0,0,0,0,0,-,ODI no. 4231
123,IND vs AUS,Rohit Sharma,1,42,44,6,0,95.45,ODI no. 4232
124,IND vs AUS,Shikhar Dhawan,1,96,90,13,1,106.66,ODI no. 4232
125,IND vs AUS,Virat Kohli,1,78,76,6,0,102.63,ODI no. 4232
126,IND vs AUS,Shreyas Iyer,1,7,17,1,0,41.17,ODI no. 4232
127,IND vs AUS,KL Rahul,1,80,52,6,3,153.84,ODI no. 4232
128,IND vs AUS,Manish Pandey,1,2,4,0,0,50.00,ODI no. 4232
129,IND vs AUS,Ravindra Jadeja,0,20,16,1,0,125.00,ODI no. 4232
130,IND vs AUS,Mohammed Shami,0,1,1,0,0,100.00,ODI no. 4232
131,IND vs AUS,Rohit Sharma,1,119,128,8,6,92.96,ODI no. 4233
132,IND vs AUS,KL Rahul,1,19,27,2,0,70.37,ODI no. 4233
133,IND vs AUS,Virat Kohli,1,89,91,8,0,97.80,ODI no. 4233
134,IND vs AUS,Shreyas Iyer,0,44,35,6,1,125.71,ODI no. 4233
135,IND vs AUS,Manish Pandey,0,8,4,2,0,200.00,ODI no. 4233
136,NZ vs IND,Prithvi Shaw,1,20,21,3,0,95.23,ODI no. 4235
137,NZ vs IND,Mayank Agarwal,1,32,31,6,0,103.22,ODI no. 4235
138,NZ vs IND,Virat Kohli,1,51,63,6,0,80.95,ODI no. 4235
139,NZ vs IND,Shreyas Iyer,1,103,107,11,1,96.26,ODI no. 4235
140,NZ vs IND,KL Rahul,0,88,64,3,6,137.50,ODI no. 4235
141,NZ vs IND,Kedar Jadhav,0,26,15,3,1,173.33,ODI no. 4235
142,NZ vs IND,Prithvi Shaw,1,24,19,6,0,126.31,ODI no. 4239
143,NZ vs IND,Mayank Agarwal,1,3,5,0,0,60.00,ODI no. 4239
144,NZ vs IND,Virat Kohli,1,15,25,1,0,60.00,ODI no. 4239
145,NZ vs IND,Shreyas Iyer,1,52,57,7,1,91.22,ODI no. 4239
146,NZ vs IND,KL Rahul,1,4,8,0,0,50.00,ODI no. 4239
147,NZ vs IND,Kedar Jadhav,1,9,27,1,0,33.33,ODI no. 4239
148,NZ vs IND,Ravindra Jadeja,1,55,73,2,1,75.34,ODI no. 4239
149,NZ vs IND,Shardul Thakur,1,18,15,3,0,120.00,ODI no. 4239
150,NZ vs IND,Navdeep Saini,1,45,49,5,2,91.83,ODI no. 4239
151,NZ vs IND,Yuzvendra Chahal,1,10,12,1,0,83.33,ODI no. 4239
152,NZ vs IND,Jasprit Bumrah,0,0,1,0,0,0.00,ODI no. 4239
153,NZ vs IND,Prithvi Shaw,1,40,42,3,2,95.23,ODI no. 4243
154,NZ vs IND,Mayank Agarwal,1,1,3,0,0,33.33,ODI no. 4243
155,NZ vs IND,Virat Kohli,1,9,12,0,1,75.00,ODI no. 4243
156,NZ vs IND,Shreyas Iyer,1,62,63,9,0,98.41,ODI no. 4243
157,NZ vs IND,KL Rahul,1,112,113,9,2,99.11,ODI no. 4243
158,NZ vs IND,Manish Pandey,1,42,48,2,0,87.50,ODI no. 4243
159,NZ vs IND,Ravindra Jadeja,0,8,7,1,0,114.28,ODI no. 4243
160,NZ vs IND,Shardul Thakur,1,7,6,1,0,116.66,ODI no. 4243
161,NZ vs IND,Navdeep Saini,0,8,6,2,0,133.33,ODI no. 4243
162,AUS vs IND,Mayank Agarwal,1,22,18,2,1,122.22,ODI no. 4265
163,AUS vs IND,Shikhar Dhawan,1,74,86,10,0,86.04,ODI no. 4265
164,AUS vs IND,Virat Kohli,1,21,21,2,1,100.00,ODI no. 4265
165,AUS vs IND,Shreyas Iyer,1,2,2,0,0,100.00,ODI no. 4265
166,AUS vs IND,KL Rahul,1,12,15,1,0,80.00,ODI no. 4265
167,AUS vs IND,Hardik Pandya,1,90,76,7,4,118.42,ODI no. 4265
